2840,{1},10,119506,2,6,59993.0
2860,{1},10,120876,2,6,60678.0
2880,{1},10,122681,2,7,61590.5
2900,{1},10,125581,2,7,63040.5
2920,{1},10,128171,2,7,64335.5
2940,{1},10,130826,2,7,65663.0
2960,{1},10,132856,2,7,66678.0
2980,{1},10,135191,2,7,67845.5
3000,{1},10,138176,2,7,69338.0
3020,{1},10,140516,2,7,70508.0
3040,{1},10,142871,2,7,71685.5
3060,{1},10,144556,2,7,72528.0
3080,{1},10,146546,2,7,73523.0
3100,{1},10,149056,2,7,74778.0
3120,{1},10,150671,2,7,75585.5
3140,{1},10,153051,2,7,76775.5
3160,{1},10,154636,2,7,77568.0
3180,{1},10,156746,2,7,78623.0
3200,{1},10,158706,2,7,79603.0
3220,{1},10,160726,2,7,80613.0
3240,{1},10,162761,2,7,81630.5
3260,{1},10,164576,2,7,82538.0
3280,{1},10,167046,2,7,83773.0
3300,{1},10,169326,2,7,84913.0
3320,{1},10,171706,2,7,86103.0
3340,{1},10,174696,2,7,87598.0
3360,{1},10,177826,2,7,89163.0
3380,{1},10,180166,2,7,90333.0
3400,{1},10,182251,2,7,91375.5
3420,{1},10,184956,2,7,92728.0
3440,{1},10,187386,2,7,93943.0
3460,{1},10,190001,2,7,95250.5
3480,{1},10,192831,2,8,96675.5
3500,{1},10,195606,2,9,98073.0
3520,{1},10,195746,3,9,98233.0
3540,{1},10,197896,3,9,99308.0
3560,{1},10,200266,3,9,100493.0
3580,{1},10,202496,3,9,101608.0
3600,{1},10,204246,3,9,102483.0
3620,{1},10,206851,3,9,103785.5
3640,{1},10,209616,3,9,105168.0
3660,{1},10,212266,3,9,106493.0
3680,{1},10,215226,3,10,107983.0
3700,{1},10,218786,3,10,109763.0
3720,{1},10,222481,3,10,111610.5
3740,{1},10,225396,3,10,113068.0
3760,{1},10,228881,3,10,114810.5
3780,{1},10,232091,3,10,116415.5
3800,{1},10,235451,3,10,118095.5
3820,{1},10,238106,3,10,119423.0
3840,{1},10,241616,3,10,121178.0
3860,{1},10,244216,3,11,122488.0
3880,{1},10,248211,3,11,124485.5
